,review_rating,review_text,verified_purchase,total_words,total_characters,total_stopwords,total_punctuations,total_uppercases,sentiment,sentiment_label
0,5,get older know like suitabl bodi like dove product give fresh wide awak feel dandruff flakey skin smelli pit,True,39,202,19,7,5,0.12222222222222223,positive
1,5,three gigant marmit jar last probabl whole life els would possibl wish order came time mention safe pack happi,True,30,175,9,6,4,0.2333333333333333,positive
2,4,excel,True,1,9,0,0,1,0.0,neutral
3,5,great flavour top slow cook,True,9,42,3,2,1,0.3333333333333333,positive
4,5,say,False,6,25,5,0,1,0.0,neutral
5,4,excel item good men,False,4,27,1,1,2,0.7,positive
6,5,thank happi,True,5,25,2,0,3,0.0,neutral
7,5,beauti,True,1,9,0,0,1,0.0,neutral
8,5,alway buy big bottl,True,4,23,0,1,2,0.0,neutral
9,5,alway use product heavili mistreat hair work wonder time time,True,16,90,6,0,1,0.0,neutral
10,5,great valu,True,2,11,0,0,1,0.8,positive
11,5,one pictur get star regular one use awesom peopl dri skin,True,26,130,11,2,5,0.0,neutral
12,5,item describ excel qualiti rapid deliveri great skin irrit red blemish,True,13,99,2,4,2,0.4,positive
13,5,good bodi wash strong smell,True,9,42,4,0,1,0.5666666666666667,positive
14,5,great,True,1,5,0,0,1,0.8,positive
15,5,worth,True,2,9,0,1,1,0.3,positive
16,5,rememb tri friend hous year ago ive use month one ill buy,False,25,123,13,3,4,-0.5,negative
17,5,great,True,1,5,0,0,1,0.8,positive
18,3,best antiperspir unless like go work snow drift arm,True,19,101,10,1,1,1.0,positive
19,5,love product,True,3,17,1,0,1,0.5,positive
20,5,die eat one u die content man love u em,False,16,80,7,3,4,0.5,positive
21,5,love rang bodi lotion u greasi easi appli soak quickli leav skin feel super soft moisturis great valu money scent fresh light great go beauti essenti bathroom cupboard review collect part promot,False,58,317,25,8,3,0.46190476190476193,positive
22,5,suffer dri sensit skin vaselin one product make skin flare itch like crazi first thing notic beauti fresh smell escap lift cap appli drop skin instantli felt sooth relief easili moisturis skin absorb effortlessli greasi unlik alot moisturis tri use product everi day improv dri skin condit massiv recommend product enough absolut love review collect part promot,False,108,605,48,10,10,0.2625,positive
23,5,absolut love stuff leav love linger fragranc smell time open wardrob cloth drawer get everyth clean realli well remind kid mum put freshli launder cloth love,True,50,271,21,9,4,0.37333333333333335,positive
24,5,happi,True,4,18,3,0,1,0.0,neutral
25,5,love wash cashmer sweater home save lot money compar take cloth dri cleaner everi week happi purchas,True,32,166,16,3,4,0.5,positive
26,5,prior receiv pretti rough elbow particular skin feel dri busi mum two admit sometim neglect may empathis product trial gave perfect opportun reconnect bit u cme time u day bath shower smother must admit first time put u sure smell u offens u like cucumb smell although u alo tend smell perfum time howev day actual like smell applic went nice thick soak pretti quickli u feel sticki alway morn wash even even bedtim skin feel notic softer rough elbow gone verdict thumb ye continu use thank fab product trial introduc vaselin alo review collect part promot,False,191,1039,88,30,24,0.2016666666666666,positive
27,5,happi item,True,3,15,1,0,1,0.0,neutral
28,5,realli like textur almost like gel realli light easili absorb skin leav feel soft fresh without weight thicker cream would buy review collect part promot,False,50,269,21,9,4,0.26666666666666666,positive
29,5,smell nice,True,2,11,0,0,1,0.6,positive
30,5,great deal tresem shampoo give long last suppli need keep buy good price,True,23,120,9,1,2,0.3625,positive
31,5,great valu,True,2,11,0,0,1,0.8,positive
32,5,love comfort,True,3,17,1,0,1,0.5,positive
33,1,horribl,False,1,9,0,1,1,0.0,neutral
34,5,great buy,True,3,11,1,0,0,0.8,positive
35,3,love contain easi pour refil nother automat liquid futur thick gloopi hard econom scent smell like wear wash may love rins,True,52,268,26,10,4,0.10208333333333332,positive
36,5,wash shark well,True,3,18,0,0,1,0.0,neutral
37,5,excel,True,1,9,0,0,0,0.0,neutral
38,5,good pleasant smell deoder boy love christma,True,10,64,3,1,1,0.6444444444444444,positive
39,4,deliv quickli decent shampoo star one bottl leak deliv,True,15,90,5,1,0,0.16666666666666666,positive
40,5,use lot make brand past bought expens make remov product none ever remov mascara eye shadow foundat base etc gentli well simpl cleans lotion consist runni squeez bottl appropri onto cotton wool ideal control much dispens also great tidi eyelin mascara error appli spars cotton wool bud alway keep bathroom cabinet pay,False,90,529,38,13,8,0.17,positive
41,5,sure big jar cost doubl size though,False,13,65,6,1,0,0.25,positive
42,5,got offer cloth come soft smell great last long time genuin well,True,27,135,12,5,3,0.2125,positive
43,5,amaz buy last month smelt amaz neighbour even ask buy one,True,22,111,10,4,2,0.0,neutral
44,5,great buy smell gorgeou,True,4,26,0,1,1,0.8,positive
45,5,textur like use bath shower,True,4,34,1,2,1,0.0,neutral
46,5,share famili,True,3,18,1,0,0,0.0,neutral
47,5,love even better deal,True,11,47,6,0,2,0.5,positive
48,5,great product,True,2,14,0,1,1,0.8,positive
49,4,bought item give gift advertis dove moisturis deepli nourish bodi wash receiv dove idratant bagnodoccia di belleza languag cannot read even less distinct fragranc,True,35,213,11,4,11,0.06666666666666667,positive
50,4,good price nice smell overpow leav white powderi mess like anti perspir happi,True,18,116,3,4,4,0.28124999999999994,positive
51,5,good wipe good buy,True,4,20,0,1,1,0.7,positive
52,5,nice fragranc seem last cloth,True,10,51,5,1,1,0.3,positive
53,5,use tresemm product year previous regular heat protect recommend one colour treat hair gave go ive look back leav hair love shine ive got dy red hair hard keep look healthi seem good job heat protect dri hair straighten tong seem keep damag away,False,78,412,32,7,8,0.10595238095238095,positive
54,5,much cheaper boot great valu,True,8,45,3,4,3,0.5,positive
55,2,like blue version overpow aw smell bin,False,18,90,11,2,1,0.0,neutral
56,5,like use one regular wash everyth come clean use two load kg wash lot white wash give extra boost machin use water cycl good valu money buy pack three regular purchas,True,67,314,33,6,6,0.17777777777777778,positive
57,5,excel valu hav carri,True,9,45,5,1,1,0.0,neutral
58,5,wash,True,1,7,0,0,1,0.0,neutral
59,5,love fresh smell,True,3,18,0,0,1,0.4,positive
60,5,great item,True,2,10,0,0,0,0.8,positive
61,5,like noodl tast like spare rib,True,10,54,3,0,2,0.0,neutral
62,5,good deodor easili irrit skin like dove soap seem irrit dri skin use dove soap quit long time certainli someth good seem good main sell point beyond effect hour deodor prone mark cloth certainli seem work far goe though abl test everi singl colour good though recommend,False,101,530,49,16,9,0.4309523809523809,positive
